NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
N,125,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,126,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,DISARM,NO_SOUND,DISARM,20002,N
N,127,SMK,EXIT_DELAY,LOW_BATTERY,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,128,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,129,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,130,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM,NO_SOUND,DISARM,20002,N
N,131,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,132,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,133,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,134,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,DISARM,NO_SOUND,DISARM,20002,N
N,135,SMK,EXIT_DELAY,LOW_BATTERY,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
,136,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
,137,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
,138,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,DISARM,NO_SOUND,DISARM,20002,N
,139,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
,140,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
,141,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
,142,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20002,N
,143,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
,144,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
,145,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
,146,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM,NO_SOUND,DISARM,20002,N
,147,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
,148,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
,149,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
,150,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,DISARM,NO_SOUND,DISARM,20002,N
,151,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
,152,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,AWAY_ARM,NO_SOUND,AWAY_ARM,20006,N
,153,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,STAY_ARM,NO_SOUND,AWAY_ARM,20008,N
,154,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM,NO_SOUND,DISARM,20002,N
,155,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM_PIN_FAIL,NO_SOUND,AWAY_ARM,NO_CHK,N
,156,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,AWAY_ARM,NO_SOUND,AWAY_ARM,20006,N
,157,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,STAY_ARM,NO_SOUND,AWAY_ARM,20008,N
,158,SMK,EXIT_DELAY,SMOKER_TAMPER_ON,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,Y,DISARM,NO_SOUND,DISARM,20002,N
